date,sales
2025-01-01,126
2025-01-02,132
2025-01-03,129
2025-01-04,148
2025-01-05,152
2025-01-06,121
2025-01-07,118
2025-01-08,134
2025-01-09,139
2025-01-10,141
2025-01-11,159
2025-01-12,166
2025-01-13,130
2025-01-14,126
2025-01-15,142
2025-01-16,145
2025-01-17,149
2025-01-18,172
2025-01-19,176
2025-01-20,138
2025-01-21,135
2025-01-22,151
2025-01-23,154
2025-01-24,158
2025-01-25,182
2025-01-26,188
2025-01-27,146
2025-01-28,142
2025-01-29,160
2025-01-30,164
2025-01-31,168
2025-02-01,195
2025-02-02,199
2025-02-03,154
2025-02-04,151
2025-02-05,171
2025-02-06,174
2025-02-07,178
2025-02-08,206
2025-02-09,211
2025-02-10,163
2025-02-11,158
2025-02-12,179
2025-02-13,184
2025-02-14,187
2025-02-15,218
2025-02-16,224
2025-02-17,171
2025-02-18,167
2025-02-19,188
2025-02-20,192
2025-02-21,197
2025-02-22,231
2025-02-23,238
2025-02-24,181
2025-02-25,176
2025-02-26,199
2025-02-27,204
2025-02-28,208
2025-03-01,246
2025-03-02,252
2025-03-03,191
2025-03-04,187
2025-03-05,211
2025-03-06,216
2025-03-07,222
2025-03-08,259
2025-03-09,266
2025-03-10,199
2025-03-11,195
2025-03-12,220
2025-03-13,225
2025-03-14,231
2025-03-15,271
2025-03-16,278
2025-03-17,209
2025-03-18,204
2025-03-19,231
2025-03-20,236
2025-03-21,242
2025-03-22,287
2025-03-23,294
2025-03-24,219
2025-03-25,215
2025-03-26,242
2025-03-27,248
2025-03-28,253
2025-03-29,302
2025-03-30,311
2025-03-31,230
2025-04-01,224
2025-04-02,253
2025-04-03,259
2025-04-04,265
2025-04-05,318
2025-04-06,327
2025-04-07,240
2025-04-08,236
2025-04-09,266
2025-04-10,272
2025-04-11,279
2025-04-12,336
2025-04-13,345
2025-04-14,252
2025-04-15,247
2025-04-16,279
2025-04-17,286
2025-04-18,292
2025-04-19,356
2025-04-20,365
2025-04-21,265
2025-04-22,260
2025-04-23,294
2025-04-24,300
2025-04-25,308
2025-04-26,375
2025-04-27,385
2025-04-28,279
2025-04-29,274
2025-04-30,310
